Model,MSO44B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,125000
Zero Index,62499.00000000
Vertical Units,A
ANALOG_Thumbnail,
yOffset,0.00000000e+00
yPosition,-1.10000000e+00

Labels,
TIME,CH3
-9.99984000e-06,-5.30000000e-02
-9.99968000e-06,-5.30000000e-02
-9.99952000e-06,-5.30000000e-02
-9.99936000e-06,-5.30000000e-02
-9.99920000e-06,-5.30000000e-02
-9.99904000e-06,-5.30000000e-02
-9.99888000e-06,-5.30000000e-02
-9.99872000e-06,-5.30000000e-02
-9.99856000e-06,-5.30000000e-02
-9.99840000e-06,-5.30000000e-02
-9.99824000e-06,-5.50000000e-02
-9.99808000e-06,-5.50000000e-02
-9.99792000e-06,-5.50000000e-02
-9.99776000e-06,-5.50000000e-02
-9.99760000e-06,-5.50000000e-02
-9.99744000e-06,-5.50000000e-02
-9.99728000e-06,-5.50000000e-02
-9.99712000e-06,-5.50000000e-02
-9.99696000e-06,-5.50000000e-02
-9.99680000e-06,-5.50000000e-02
-9.99664000e-06,-5.50000000e-02
-9.99648000e-06,-5.50000000e-02
-9.99632000e-06,-5.50000000e-02
-9.99616000e-06,-5.50000000e-02
-9.99600000e-06,-5.50000000e-02
-9.99584000e-06,-5.50000000e-02
-9.99568000e-06,-5.50000000e-02
-9.99552000e-06,-5.50000000e-02
-9.99536000e-06,-5.50000000e-02
-9.99520000e-06,-5.50000000e-02
-9.99504000e-06,-5.50000000e-02
-9.99488000e-06,-5.50000000e-02
-9.99472000e-06,-5.50000000e-02
-9.99456000e-06,-5.50000000e-02
-9.99440000e-06,-5.50000000e-02
-9.99424000e-06,-5.30000000e-02
-9.99408000e-06,-5.30000000e-02
-9.99392000e-06,-5.30000000e-02
-9.99376000e-06,-5.30000000e-02
-9.99360000e-06,-5.30000000e-02
-9.99344000e-06,-5.30000000e-02
-9.99328000e-06,-5.30000000e-02
-9.99312000e-06,-5.30000000e-02
-9.99296000e-06,-5.30000000e-02
-9.99280000e-06,-5.30000000e-02
-9.99264000e-06,-5.30000000e-02
-9.99248000e-06,-5.30000000e-02
-9.99232000e-06,-5.50000000e-02
-9.99216000e-06,-5.50000000e-02
-9.99200000e-06,-5.50000000e-02
-9.99184000e-06,-5.30000000e-02
-9.99168000e-06,-5.30000000e-02
-9.99152000e-06,-5.30000000e-02
-9.99136000e-06,-5.30000000e-02
-9.99120000e-06,-5.30000000e-02
-9.99104000e-06,-5.30000000e-02
-9.99088000e-06,-5.30000000e-02
-9.99072000e-06,-5.30000000e-02
-9.99056000e-06,-5.30000000e-02
-9.99040000e-06,-5.30000000e-02
-9.99024000e-06,-5.30000000e-02
-9.99008000e-06,-5.30000000e-02
-9.98992000e-06,-5.10000000e-02
-9.98976000e-06,-5.10000000e-02
-9.98960000e-06,-5.10000000e-02
-9.98944000e-06,-5.10000000e-02
-9.98928000e-06,-5.10000000e-02
-9.98912000e-06,-5.10000000e-02
-9.98896000e-06,-5.10000000e-02
-9.98880000e-06,-5.10000000e-02
-9.98864000e-06,-4.90000000e-02
-9.98848000e-06,-4.90000000e-02
-9.98832000e-06,-4.90000000e-02
-9.98816000e-06,-4.90000000e-02
-9.98800000e-06,-4.90000000e-02
-9.98784000e-06,-4.90000000e-02
-9.98768000e-06,-4.90000000e-02
-9.98752000e-06,-4.70000000e-02
-9.98736000e-06,-4.70000000e-02
-9.98720000e-06,-4.70000000e-02
